,node,in_degree,out_degree
0,60948486,2,1
1,60948490,1,1
2,60948494,2,2
3,60948500,1,1
4,60948502,2,2
5,60948508,1,2
6,1448542252,2,2
7,251396141,2,1
8,21758007,2,2
9,649527377,2,2
10,1448542296,2,2
11,1448542303,2,1
12,248217699,1,2
13,248217700,1,1
14,248217701,1,2
15,7438440,2,1
16,248217705,1,2
17,248217706,2,1
18,248217715,2,1
19,7438452,3,2
20,248217723,2,1
21,248217731,2,1
22,301629595,1,1
23,274825373,2,1
24,3909353631,1,1
25,3909353632,1,1
26,267223201,1,1
27,1123483817,3,2
28,1123483818,2,3
29,476971178,1,1
30,75890864,1,2
31,529170634,2,3
32,1565917395,2,1
33,529170658,3,2
34,177635554,1,2
35,274825445,1,2
36,529170665,2,3
37,736592111,1,1
38,60195060,1,2
39,529170675,2,2
40,529170680,1,1
41,472613118,1,1
42,2923462918,1,1
43,177602845,1,1
44,529170723,3,2
45,472613165,1,1
46,3356590384,1,2
47,1486127410,2,1
48,60621126,2,2
49,151028068,1,1
50,181764461,3,2
51,125075834,2,1
52,26608001,1,1
53,237699480,1,1
54,31949215,1,1
55,181764519,1,1
56,237699517,1,1
57,1075904970,1,1
58,602603979,1,1
59,429785550,1,1
60,181764559,1,2
61,255885776,2,2
62,255885778,2,1
63,26608084,1,2
64,31949268,1,2
65,602603990,1,1
66,429785554,1,1
67,429785552,2,2
68,33325533,1,1
69,26608099,2,1
70,261095925,1,1
71,261095930,2,2
72,2538504700,2,1
73,181764606,3,2
74,147816962,2,1
75,30704136,1,2
76,30704152,1,1
77,736592425,1,1
78,76579373,1,1
79,30704176,2,1
80,76579380,2,2
81,269419062,1,2
82,2351825462,2,2
83,76579387,2,2
84,76579392,1,2
85,252805710,1,1
86,105611859,1,1
87,2022081118,1,2
88,3172467322,1,1
89,1576895115,2,1
90,295586,1,1
91,295587,1,1
92,295588,1,1
93,281805481,1,2
94,295599,1,1
95,281805492,2,2
96,281805502,1,1
97,6975455945,1,1
98,2159805129,2,2
99,255886027,1,1
100,281805519,2,1
101,262868,1,1
102,281805532,1,2
103,717554407,1,2
104,1099465448,2,1
105,1802985,2,3
106,5483135723,2,1
107,262896,2,1
108,5483135729,1,2
109,183272182,1,1
110,281805559,2,2
111,281805565,2,2
112,281805567,1,1
113,1099465477,1,2
114,2029224717,1,1
115,2029224720,1,1
116,281805584,2,1
117,281805590,1,1
118,96994072,2,2
119,251069215,2,1
120,281805608,2,1
121,281805615,1,1
122,281805639,2,2
123,21758792,1,1
124,281805661,2,1
125,177603424,1,1
126,160400250,1,1
127,264012680,1,1
128,264012684,2,2
129,267584398,1,1
130,264012690,2,1
131,267584413,2,2
132,270369709,1,1
133,261587895,1,1
134,3164275658,1,1
135,261587921,1,1
136,270369754,1,1
137,31949788,1,2
138,247366623,1,1
139,142738408,2,1
140,304874478,1,1
141,1642890233,1,1
142,597328890,2,1
143,364938236,2,2
144,6991447041,2,2
145,907183115,2,2
146,12452885,1,2
147,313951270,1,1
148,959579184,1,1
149,21300290,1,2
150,1803334,2,3
151,301761611,2,1
152,3152774223,1,1
153,3152774225,1,1
154,12452969,2,1
155,3152807026,1,1
156,355501182,1,1
157,320046210,1,2
158,5538120835,1,1
159,14779526,2,2
160,14779533,1,1
161,467764369,1,1
162,293536959,1,1
163,243664094,1,1
164,243664095,1,1
165,178881765,1,2
166,243664103,1,2
167,243664106,2,1
168,427250,1,1
169,427257,2,2
170,264504570,2,2
171,427260,1,2
172,264504572,3,2
173,242058499,1,1
174,130254090,2,2
175,264504592,2,3
176,242058512,2,2
177,130254100,2,3
178,27428120,1,2
179,369853725,1,1
180,265782559,2,2
181,265782560,3,2
182,265782561,1,1
183,17073440,2,1
184,265782565,2,2
185,427301,2,1
186,129959213,2,2
187,302613807,2,2
188,129959223,2,1
189,60261692,2,2
190,302613821,1,1
191,1944618306,1,1
192,129959235,1,1
193,2981496138,2,1
194,129959249,1,2
195,129959255,2,1
196,302613848,2,1
197,302613849,1,2
198,301761879,2,1
199,3033793882,2,1
200,6557336920,1,1
201,302613854,1,2
202,3331130718,2,2
203,254018913,2,1
204,30770530,3,2
205,6021449059,1,1
206,302613859,2,2
207,302613861,1,1
208,129959272,1,1
209,6021449066,2,2
210,302613869,2,1
211,25855362,1,1
212,417465743,2,1
213,160400793,2,2
214,6787270047,1,1
215,3317597610,2,2
216,25855420,2,1
217,25855443,1,2
218,399181292,1,1
219,294159856,1,2
220,25921008,1,1
221,12977714,2,1
222,12977721,2,1
223,399181371,1,1
224,12977739,2,1
225,70977106,1,1
226,1165723225,1,1
227,301762153,1,2
228,4184409717,1,1
229,31065719,1,1
230,26609271,1,2
231,588514935,2,1
232,1379632771,2,1
233,1379632772,2,2
234,1379632781,2,2
235,1379632783,1,2
236,2164131483,1,1
237,1944618653,1,1
238,363595424,2,2
239,1440417453,1,2
240,1440417460,2,1
241,160401076,1,2
242,60196545,1,1
243,293242577,1,1
244,245040850,2,1
245,197756649,2,2
246,293242603,2,2
247,17204988,1,1
248,319522557,1,1
249,319522565,1,1
250,197756682,2,1
251,319522577,1,1
252,21759781,2,2
253,178882368,2,1
254,21759812,1,2
255,21759816,2,3
256,197756747,2,2
257,197756756,1,2
258,277251926,2,2
259,88278884,3,3
260,88278892,2,3
261,197461915,2,1
262,88278955,3,3
263,292292529,2,1
264,160401330,2,1
265,279873463,2,1
266,2223540170,2,2
267,297502670,2,2
268,267880398,2,2
269,297502673,1,2
270,297502674,1,2
271,297502682,2,2
272,297502685,1,1
273,197461981,2,1
274,297502687,2,2
275,297502692,2,1
276,129959909,1,1
277,277350380,1,1
278,292292593,1,1
279,428041,3,2
280,428050,2,3
281,428052,2,3
