Stunde,Pkw_R1,Pkw_R2,mean
0.5,206.41137828297548,207.6028109718579,207.0070946274167
1.0,158.13735548430972,159.4599306972376,158.79864309077368
1.5,129.67763366689337,131.6411622785712,130.65939797273228
2.0,101.21791184947699,103.82239385990479,102.52015285469089
2.5,87.51149162861492,91.07514006282588,89.2933158457204
3.0,73.80507140775285,78.32788626574695,76.0664788367499
3.5,73.6792043136112,79.62283105022831,76.65101768191975
4.0,73.55333721946954,80.91777583470967,77.23555652708961
4.5,99.13888403121862,109.02361799281064,104.08125101201463
5.0,124.7244308429677,137.12946015091163,130.92694549693965
5.5,249.97002979371092,261.6692574241394,255.81964360892516
6.0,375.21562874445414,386.20905469736715,380.7123417209107
6.5,561.0530959551799,553.270912270475,557.1620041128275
7.0,746.8905631659056,720.332769843583,733.6116665047443
7.5,872.296742122478,837.7901729330613,855.0434575277696
8.0,997.7029210790505,955.2475760225395,976.475248550795
8.5,985.4434712911687,952.3543832377991,968.898927264484
9.0,973.184021503287,949.4611904530587,961.3226059781729
9.5,957.0341623757246,937.47608407008,947.2551232229023
10.0,940.8843032481622,925.4909776871012,933.1876404676317
10.5,952.0915994688946,940.378179345186,946.2348894070403
11.0,963.2988956896272,955.2653810032708,959.2821383464491
11.5,991.1845509893456,985.077274199294,988.1309125943199
12.0,1019.0702062890638,1014.8891673953173,1016.9796868421905
12.5,1052.8629149260014,1049.4242413938275,1051.1435781599146
13.0,1086.6556235629391,1083.9593153923379,1085.3074694776385
13.5,1123.1289209495126,1121.8397292658442,1122.4843251076782
14.0,1159.602218336086,1159.7201431393503,1159.661180737718
14.5,1192.307509958224,1195.986717510282,1194.147113734253
15.0,1225.012801580362,1232.2532918812137,1228.633046730788
15.5,1251.8200945626477,1266.90093267269,1259.360513617669
16.0,1278.6273875449335,1301.5485734641666,1290.0879805045502
16.5,1310.9994980407396,1336.6008646653065,1323.8001813530232
17.0,1343.3716085365459,1371.6531558664465,1357.5123822014962
17.5,1335.4279688461415,1358.973538650863,1347.2007537485022
18.0,1327.484329155737,1346.2939214352796,1336.8891252955082
18.5,1241.9703568768418,1256.574270539849,1249.2723137083453
19.0,1156.456384597947,1166.8546196444186,1161.6555021211827
19.5,1012.2905906927037,1018.0312072929823,1015.160898992843
20.0,868.1247967874607,869.207794941546,868.6662958645034
20.5,756.0145746300075,755.6046342174293,755.8096044237184
21.0,643.9043524725541,642.0014734933126,642.9529129829334
21.5,566.7039444282522,564.4527963988471,565.5783704135497
22.0,489.50353638395023,486.9041193043816,488.2038278441659
22.5,435.65793743320705,435.0778603581722,435.3678988956896
23.0,381.8123384824638,383.25160141196284,382.5319699472133
23.5,318.2488697820525,319.4986463292205,318.87375805563653
24.0,254.68540108164123,255.7456912464782,255.21554616405973
