Typ;COPERT Typ;Anzahl 2020 Benzin;Anzahl 2020 Diesel;Anzahl 2020 Gesamt;Anteil in % 2020 Benzin;Anteil in % 2020 Diesel
MINIS ;Mini;2203678,432;1076121,26;3279799,692;0,048262007;0,023567764
KLEINWAGEN ;Small;5886765,731;2874681,561;8761447,292;0,128924042;0,062957417
KOMPAKTKLASSE ;Medium;7895536,751;3855623,776;11751160,53;0,172917449;0,084440697
MITTELKLASSE ;Medium;4142227,411;2022771,978;6164999,39;0,090717505;0,044300037
OBERE MITTELKLASSE  ;Medium;1267387,402;618902,6984;1886290,1;0,027756618;0,013554376
OBERKLASSE ;Large;177532,4375;86694,33233;264226,7698;0,003888077;0,001898663
SUVs ;Large;2481024,396;1211557,485;3692581,881;0,054336066;0,026533906
GELÄNDEWAGEN ;Large;1709724,459;834908,9469;2544633,406;0,03744409;0,018285055
SPORTWAGEN ;Large;604929,784;295405,079;900334,863;0,01324836;0,006469566
MINI-VANS ;Large;1315008,799;642157,6331;1957166,432;0,028799558;0,014063675
GROSSRAUM-VANS ;Large;1334172,005;651515,5926;1985687,598;0,029219245;0,01426862
UTILITIES ;Large;1272871,358;621580,6759;1894452,033;0,02787672;0,013613026
WOHNMOBILE ;Large;388320,4567;189628,3473;577948,804;0,008504473;0,004152986
