TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;vT_MobisSo;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;pSV_MobisSo_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;DL_Ri1;DL_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;Koor_UTM32_E;Koor_UTM32_N;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_t;Q_L1_t;Q_L2_t;Q_K_t;Q_P_n;Q_L1_n;Q_L2_n;Q_K_n;Q_P_a;Q_L1_a;Q_L2_a;Q_K_a;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
6020;9033;AD Seligenstadt (O);9;BY;A;3;;8+1;Frankfurt a. Main;AD Seligenstädter Dreieck (A45);N;Würzburg;AS Stockstadt (B469);S;6;281;100.503;48.012;52.491;16.914;8.041;8.873;16,8;1,00;0,79;1,06;5.485;14,4;1.593;33,8;;;;;D;D;80,5;8,0;0,6;1,3;3,3;13,2;10,0;0,4;1,3;502.145;5.537.327;;;;;106.015;49.851;56.164;21,4;21,6;21,2;49,98827092;9,02991729;4.076;4.787;8,5;9,1;5,0;13,1;3,8;9,9;8,2;8,5;50.660;56.181;0,84;0,75;0,96;0,96;1,07;1,06;0,83;0,82;4.591;191;597;35;1.023;79;460;9;3.646;118;431;27;460;6020005O6020202O;1,105;Ri1_ist_VonNK;- in Bearbeitung -;
6225;9011;AD Würzburg-West (O);9;BY;A;3;;8+1;Frankfurt a. Main;AD Dreieck Würzburg-West (A81);N;Würzburg;AS Würzburg/Kist;S;10;334;86.729;44.950;41.779;18.744;9.633;9.111;21,6;1,03;0,99;1,13;4.674;18,0;1.493;44,2;;;;;D;D;75,5;8,2;0,6;1,5;3,3;17,8;13,9;0,4;1,3;560.331;5.511.095;;;;;87.834;45.163;42.671;28,4;28,7;28,2;49,74931005;9,83747929;4.509;3.588;10,0;8,6;2,3;2,7;0,7;0,9;10,0;8,4;44.832;40.907;1,00;0,97;1,04;0,99;1,09;1,17;0,85;0,94;3.742;164;677;29;804;80;580;9;3.019;127;532;22;350;6224215O6225031O;1,372;Ri1_ist_VonNK;- in Bearbeitung -;
6224;9034;AD Würzburg-West (W);9;BY;A;3;;8+1;Frankfurt a. Main;AS Helmstadt;N;Würzburg;AD Dreieck Würzburg-West (A81);S;6;332;66.827;33.697;33.130;14.931;7.378;7.553;22,3;1,03;0,95;1,12;3.591;18,7;1.171;44,4;;;;;D;D;74,6;7,8;0,7;1,7;3,4;18,5;14,8;0,4;1,4;557.220;5.511.239;;;;;67.474;33.678;33.796;29,4;29,3;29,5;49,75091045;9,79432498;3.361;2.892;10,0;8,7;5,6;9,5;4,6;7,4;10,0;8,6;33.637;32.785;0,96;0,94;0,97;0,96;1,12;1,13;0,87;0,91;2.842;127;546;27;628;63;457;7;2.239;98;410;21;360;6224211O6224215O;2,337;Ri1_ist_VonNK;- in Bearbeitung -;
6633;9046;AK Altdorf (S);9;BY;A;3;;8+1;Nürnberg;AK Kreuz Altdorf (A6);N;Passau;AS Altdorf/Burgthann;S;4;348;53.120;26.135;26.985;11.356;5.416;5.939;21,4;0,99;0,77;1,05;2.859;18,9;921;36,8;;;;;D;D;75,3;9,2;0,8;1,8;3,8;17,2;13,5;0,4;1,5;667.277;5.474.252;;;;;56.573;27.443;29.130;26,7;26,5;26,8;49,39795561;11,30551384;2.523;2.502;9,7;9,3;12,7;13,9;8,8;10,9;9,2;8,6;28.023;29.116;0,83;0,70;0,99;0,89;1,02;1,07;0,78;0,81;2.255;111;429;23;562;54;285;6;1.723;80;308;17;130;6533019O6634008O;0,831;Ri1_ist_VonNK;- in Bearbeitung -;
6226;9038;AK Biebelried (O);9;BY;A;3;;8+1;Würzburg;AK Kreuz Biebelried (A7);N;Nürnberg;AS Kitzingen/Schwarzach;S;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;583.447;5.515.534;;;;;;;;;;;49,78646362;10,15925843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;6226023O6227004O;4,997;Ri1_ist_VonNK;- in Bearbeitung -;
6226;9036;AK Biebelried (W);9;BY;A;3;;8+1;Würzburg;AS Rottendorf;N;Nürnberg;AK Kreuz Biebelried (A7);S;6;335;73.628;36.886;36.742;16.735;8.364;8.371;22,7;1,03;0,97;1,14;3.945;19,0;1.314;45,4;;;;;D;D;75,4;9,1;0,5;1,8;2,3;20,0;16,0;0,5;0,0;577.705;5.514.094;;;;;74.490;36.799;37.691;30,1;30,7;29,5;49,77428740;10,07921913;3.707;3.102;10,0;8,4;2,1;4,4;0,8;2,5;10,1;8,2;35.870;36.953;1,02;0,92;1,06;0,93;1,13;1,15;0,88;0,89;3.178;102;646;19;713;50;546;4;2.535;78;507;14;310;6226007O6226023O;0,936;Ri1_ist_VonNK;- in Bearbeitung -;
7143;9093;AK Deggendorf (W);9;BY;A;3;;8+1;Nürnberg;AS Metten;N;Passau;AK Kreuz Deggendorf (A92);S;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;788.427;5.415.109;;;;;;;;;;;48,82191416;12,92977988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;7143022O7143018O;3,813;Ri1_ist_VonNK;- in Bearbeitung -;
6432;9050;AK Fürth/Erlangen (O);9;BY;A;3;;8+1;Würzburg;AK Kreuz Fürth/Erlangen (A73);N;Nürnberg;AS Erlangen-Tennenlohe;S;6;300;98.412;48.350;50.062;17.607;8.770;8.837;17,9;0,98;0,79;1,07;5.404;15,4;1.494;35,6;;;;;D;D;79,0;8,2;2,1;1,4;3,7;13,8;11,1;0,3;1,7;646.332;5.489.582;;;;;104.393;51.034;53.359;22,3;22,8;21,7;49,54115116;11,02270420;4.240;4.216;8,8;8,4;12,6;11,3;9,7;8,4;8,3;7,9;51.489;52.335;0,79;0,79;0,99;0,97;1,07;1,08;0,79;0,81;4.369;206;628;112;901;89;444;33;3.230;137;456;86;190;6431028O6432014O;3,135;Ri1_ist_VonNK;- in Bearbeitung -;
6431;9951;AK Fürth/Erlangen (W);9;BY;A;3;;5+1;Würzburg;AS Erlangen-Frauenaurach;N;Nürnberg;AK Kreuz Fürth/Erlangen (A73);S;4;326;88.463;43.035;45.428;16.177;7.940;8.236;18,3;0,97;0,73;1,05;4.834;15,7;1.390;36,2;;;;;D;D;79,6;;;1,5;4,3;13,7;;0,3;0,6;643.408;5.491.613;;;;;95.329;45.818;49.511;22,1;22,9;21,5;49,56011538;10,98305259;3.759;4.173;8,7;9,2;16,0;16,6;11,2;13,2;8,2;8,4;45.687;48.779;0,75;0,72;0,98;0,95;1,05;1,05;0,78;0,79;;208;551;;;86;417;;;141;414;;200;6431019O6431028O;3,029;Ri1_ist_VonNK;- in Bearbeitung -;
6533;9040;AK Nürnberg (O);9;BY;A;3;;8+1;Nürnberg;AK Kreuz Nürnberg (A9);N;Passau;AK Kreuz Altdorf (A6);S;4;319;46.376;23.375;23.001;10.278;5.000;5.278;22,2;0,98;0,76;1,09;2.509;19,5;779;39,0;;;;;C;C;74,6;8,7;0,6;1,8;3,7;18,1;13,8;0,3;1,4;663.447;5.480.389;;;;;49.902;24.950;24.952;27,3;27,0;27,7;49,45415266;11,25529647;2.518;2.200;10,8;9,6;11,5;16,0;8,6;12,1;10,1;8,8;24.885;24.867;0,84;0,69;0,99;0,89;1,08;1,11;0,74;0,81;1.968;94;396;15;459;46;258;4;1.451;73;272;11;140;6533014O6533019O;0,976;Ri1_ist_VonNK;- in Bearbeitung -;
