node,in_degree,out_degree
60948486,2,1
60948490,1,1
60948494,2,2
60948500,1,1
60948502,2,2
60948508,1,2
1448542252,2,2
251396141,2,1
21758007,2,2
649527377,2,2
1448542296,2,2
1448542303,2,1
248217699,1,2
248217700,1,1
248217701,1,2
7438440,2,1
248217705,1,2
248217706,2,1
248217715,2,1
7438452,3,2
248217723,2,1
248217731,2,1
301629595,1,1
274825373,2,1
3909353631,1,1
3909353632,1,1
267223201,1,1
1123483817,3,2
1123483818,2,3
476971178,1,1
75890864,1,2
529170634,2,3
1565917395,2,1
529170658,3,2
177635554,1,2
274825445,1,2
529170665,2,3
736592111,1,1
60195060,1,2
529170675,2,2
529170680,1,1
472613118,1,1
2923462918,1,1
177602845,1,1
529170723,3,2
472613165,1,1
3356590384,1,2
1486127410,2,1
60621126,2,2
151028068,1,1
181764461,3,2
125075834,2,1
26608001,1,1
237699480,1,1
31949215,1,1
181764519,1,1
237699517,1,1
1075904970,1,1
602603979,1,1
429785550,1,1
181764559,1,2
255885776,2,2
255885778,2,1
26608084,1,2
31949268,1,2
602603990,1,1
429785554,1,1
429785552,2,2
33325533,1,1
26608099,2,1
261095925,1,1
261095930,2,2
2538504700,2,1
181764606,3,2
147816962,2,1
30704136,1,2
30704152,1,1
736592425,1,1
76579373,1,1
30704176,2,1
76579380,2,2
269419062,1,2
2351825462,2,2
76579387,2,2
76579392,1,2
252805710,1,1
105611859,1,1
2022081118,1,2
3172467322,1,1
1576895115,2,1
295586,1,1
295587,1,1
295588,1,1
281805481,1,2
295599,1,1
281805492,2,2
281805502,1,1
6975455945,1,1
2159805129,2,2
255886027,1,1
281805519,2,1
262868,1,1
281805532,1,2
717554407,1,2
1099465448,2,1
1802985,2,3
5483135723,2,1
262896,2,1
5483135729,1,2
183272182,1,1
281805559,2,2
281805565,2,2
281805567,1,1
1099465477,1,2
2029224717,1,1
2029224720,1,1
281805584,2,1
281805590,1,1
96994072,2,2
251069215,2,1
281805608,2,1
281805615,1,1
281805639,2,2
21758792,1,1
281805661,2,1
177603424,1,1
160400250,1,1
264012680,1,1
264012684,2,2
267584398,1,1
264012690,2,1
267584413,2,2
270369709,1,1
261587895,1,1
3164275658,1,1
261587921,1,1
270369754,1,1
31949788,1,2
247366623,1,1
142738408,2,1
304874478,1,1
1642890233,1,1
597328890,2,1
364938236,2,2
6991447041,2,2
907183115,2,2
12452885,1,2
313951270,1,1
959579184,1,1
21300290,1,2
1803334,2,3
301761611,2,1
3152774223,1,1
3152774225,1,1
12452969,2,1
3152807026,1,1
355501182,1,1
320046210,1,2
5538120835,1,1
14779526,2,2
14779533,1,1
467764369,1,1
293536959,1,1
243664094,1,1
243664095,1,1
178881765,1,2
243664103,1,2
243664106,2,1
427250,1,1
427257,2,2
264504570,2,2
427260,1,2
264504572,3,2
242058499,1,1
130254090,2,2
264504592,2,3
242058512,2,2
130254100,2,3
27428120,1,2
369853725,1,1
265782559,2,2
265782560,3,2
265782561,1,1
17073440,2,1
265782565,2,2
427301,2,1
129959213,2,2
302613807,2,2
129959223,2,1
60261692,2,2
302613821,1,1
1944618306,1,1
129959235,1,1
2981496138,2,1
129959249,1,2
129959255,2,1
302613848,2,1
302613849,1,2
301761879,2,1
3033793882,2,1
6557336920,1,1
302613854,1,2
3331130718,2,2
254018913,2,1
30770530,3,2
6021449059,1,1
302613859,2,2
302613861,1,1
129959272,1,1
6021449066,2,2
302613869,2,1
25855362,1,1
417465743,2,1
160400793,2,2
6787270047,1,1
3317597610,2,2
25855420,2,1
25855443,1,2
399181292,1,1
294159856,1,2
25921008,1,1
12977714,2,1
12977721,2,1
399181371,1,1
12977739,2,1
70977106,1,1
1165723225,1,1
301762153,1,2
4184409717,1,1
31065719,1,1
26609271,1,2
588514935,2,1
1379632771,2,1
1379632772,2,2
1379632781,2,2
1379632783,1,2
2164131483,1,1
1944618653,1,1
363595424,2,2
1440417453,1,2
1440417460,2,1
160401076,1,2
60196545,1,1
293242577,1,1
245040850,2,1
197756649,2,2
293242603,2,2
17204988,1,1
319522557,1,1
319522565,1,1
197756682,2,1
319522577,1,1
21759781,2,2
178882368,2,1
21759812,1,2
21759816,2,3
197756747,2,2
197756756,1,2
277251926,2,2
88278884,3,3
88278892,2,3
197461915,2,1
88278955,3,3
292292529,2,1
160401330,2,1
279873463,2,1
2223540170,2,2
297502670,2,2
267880398,2,2
297502673,1,2
297502674,1,2
297502682,2,2
297502685,1,1
197461981,2,1
297502687,2,2
297502692,2,1
129959909,1,1
277350380,1,1
292292593,1,1
428041,3,2
428050,2,3
428052,2,3
428053,2,2
428054,3,2
3065972758,1,1
248154136,2,1
428056,3,2
428060,1,1
10258463,2,2
10258465,2,2
277350438,1,1
130156604,3,2
492767307,1,2
492767312,2,2
177637461,1,1
562792536,1,2
194054238,3,2
492767330,1,1
492767335,2,1
4090660982,2,2
178948216,1,1
2363164794,1,2
17205380,1,1
307628167,2,3
21039252,1,1
332073109,2,2
332073127,1,1
59771060,2,2
59771069,2,2
59771076,2,2
60197067,2,2
2976286925,2,3
181635287,2,2
457476327,2,1
1694730472,1,1
268339431,1,1
268339432,1,1
485230828,2,2
3140651246,2,2
82741492,2,1
485230838,2,2
114264331,2,2
1935634,2,2
1935639,1,1
114264355,1,2
177539364,1,1
1089505582,1,1
114264370,2,1
276924733,1,1
27658558,2,3
276924735,1,1
27658563,2,3
12454218,1,1
348653900,1,1
12454239,2,1
4649224545,1,1
12454243,1,2
12454247,2,2
12454249,2,2
258509162,1,1
256936302,1,1
2106263919,2,2
267880813,2,2
258509165,2,1
267880821,1,2
258509173,2,3
95717759,1,1
256018816,1,1
2118977927,2,1
2118977931,2,2
1985776024,2,2
267880862,2,1
313035173,1,1
267880874,3,3
271780284,1,2
256018890,2,2
2503674328,1,1
256018910,1,1
2465729002,2,2
177605112,1,2
177605113,2,1
320113158,1,1
286525970,1,1
256018971,1,1
256018976,1,1
299731489,1,1
290261543,2,2
3152775728,2,1
666143313,2,2
2099284564,2,2
41716315,1,1
256019043,1,2
17205863,2,3
41716332,1,1
312412782,2,2
21105297,1,2
41716372,1,1
109709988,1,1
21105331,1,1
413698740,2,1
413698741,1,2
413698742,1,2
41716427,1,1
41716429,1,1
21105360,1,2
41716441,1,1
41716444,1,1
21105384,1,1
41716459,1,1
41716463,1,1
177605358,1,1
2739440369,2,2
293473020,1,1
293473023,1,1
2788494083,2,2
288525059,1,2
2788494086,1,2
293473033,2,1
293473035,1,1
1015974678,1,1
1557367577,1,2
26020637,2,1
2302937903,1,1
1557367602,1,2
2576124723,1,1
2260306740,2,2
1816464182,1,1
1557367604,1,2
652806969,1,1
1015974716,1,1
2349075261,2,2
1015974720,1,1
11307843,1,1
148933445,1,1
2046495568,1,2
1372359529,1,1
5572889466,1,1
1557367675,2,2
177539966,2,1
258509694,2,2
5572889480,1,1
177539988,1,1
387451801,2,3
387451819,2,2
178949038,1,1
376015791,2,1
27069361,1,1
1557367732,2,1
21760961,2,1
1089506246,1,1
27069384,1,1
27069385,1,1
1557367753,1,1
249072592,2,3
27069393,1,1
320146386,2,2
249072598,3,2
320146398,1,1
27069416,1,1
1596656617,1,1
177540072,1,2
1937804267,1,1
265197,1,1
430410734,1,1
27069426,2,1
430410737,1,1
570264582,3,2
1484524554,2,1
269716492,1,2
1596656653,1,2
1596656675,1,1
14388263,2,1
14388264,1,2
21531699,1,1
12454966,1,2
12454974,1,1
292949057,2,2
331484247,1,1
1648594009,1,1
317361247,1,1
1372359775,1,1
429198436,2,2
319491172,1,1
319491178,1,1
69536879,2,2
2130873481,2,1
1438682272,2,1
3152809131,1,2
177507499,2,1
2130873530,2,1
3126725831,2,2
12455112,1,1
12455113,1,1
1107332302,1,1
3221818588,1,2
265437,1,1
265441,1,1
12455138,1,1
461573350,2,2
1107332328,1,1
12455146,1,1
2214530313,1,1
268340498,1,1
1467944212,2,1
1692306712,1,1
75664669,1,1
1572998454,1,2
3005910326,2,2
3291843901,1,2
12455233,2,1
2375945541,2,2
10718542,2,2
12455248,2,1
319524198,1,1
319524203,1,1
1618939251,2,2
265653622,2,2
308219301,2,2
3316583849,2,2
308219306,2,1
119803319,1,1
1058803144,1,1
1058803189,1,1
69471735,1,2
352685565,1,1
352685570,1,1
366546436,1,1
366546441,1,1
2983431693,1,1
257363475,2,2
260214293,1,1
257363479,3,2
257363480,1,1
1058803232,1,1
244420137,3,3
244420164,2,1
244420171,1,2
61083214,1,1
399216218,1,1
271421025,1,2
632327791,2,3
2490994298,1,1
6032199292,1,1
6032199298,1,1
292949649,3,2
319524511,1,1
319524516,1,1
1913949867,2,1
2062356139,1,1
206114497,1,1
988778188,1,1
3172437713,2,1
445189856,1,1
445189860,1,2
3316584168,2,2
278728429,1,2
278728440,2,2
293441274,1,1
1677692667,1,1
3137244925,1,1
293441279,1,1
289214210,2,2
278728462,2,2
29986581,2,1
319754004,1,1
278728470,2,2
2670104347,1,1
319754012,1,1
57872157,2,2
3336441637,1,1
2462093096,2,2
533827375,3,2
278728497,1,1
30674752,1,1
30674756,2,2
321392454,1,2
544968548,2,2
248844141,1,1
544968574,2,2
106139523,1,1
482643845,2,3
544968583,1,1
2421919624,2,3
662474633,3,2
482643849,3,2
106139531,2,2
662474639,2,2
1550749584,2,1
662474647,2,3
256872344,1,1
106139547,2,1
17305510,1,2
232722366,2,2
662474692,2,2
21532629,1,1
21532630,1,1
177508323,2,2
177508324,2,1
267882467,1,2
272044016,1,1
267882484,2,1
267882487,1,2
1366986744,2,1
1366986751,2,1
1366986753,1,2
1366986756,2,2
1713967110,1,1
267882500,2,1
271421450,1,1
268341265,1,2
268341268,2,1
1366986773,1,1
1366986774,2,2
1366986775,2,2
2422149148,1,1
1713967134,1,1
8851497,1,1
69472343,2,2
2539327578,2,2
373526623,2,2
1440419952,1,2
25530491,2,1
90476722,2,2
90476727,2,1
90476733,1,2
2422313150,2,2
1694437593,1,2
1679823070,2,1
84775147,2,1
240783596,1,1
1694437613,2,2
331485440,1,2
177508619,1,2
148934925,2,1
25301268,2,2
309596437,2,2
25301269,1,1
703861020,2,2
148934942,2,2
21729570,1,1
148934948,1,1
30216493,1,1
703861042,1,1
316084534,1,1
703861054,2,2
1679823169,2,1
1061785924,2,2
21729614,2,2
3164279122,2,1
97620308,2,2
27365732,2,2
27365734,2,2
97620330,1,1
293441900,1,1
97620337,2,1
1281954197,1,1
430608791,1,1
68850072,1,1
363565466,1,1
301502877,1,1
68850082,1,1
260411813,1,1
1806766,1,1
75665850,1,2
374149567,1,1
2822593,1,1
2043187660,2,1
1641583092,2,1
8851960,1,2
316084728,2,1
472781315,3,2
6875943438,1,1
728338958,1,1
316084764,2,2
281350685,1,2
5638525503,1,1
1559106118,1,1
313397832,1,1
1559106139,1,1
808489572,3,2
198316650,1,2
281219705,1,1
298717817,2,2
298717819,2,1
298717821,1,2
3140915841,2,1
298717829,2,2
298717832,2,1
298717833,1,2
107745971,2,1
3053720250,2,1
269587131,3,2
207098558,1,1
3053720256,1,1
268341962,1,1
268341968,1,1
17208023,1,2
21140190,1,2
3033797344,2,2
271422187,1,1
30413580,1,2
1130763024,1,1
30413584,2,2
30413593,1,1
1708692253,2,2
301503262,1,1
936645416,1,1
1649447722,1,2
301503279,1,1
2587366200,1,2
270996283,2,1
1649447743,2,1
248484684,1,2
1708692320,2,1
1649447776,2,1
1559106411,1,1
1649447803,1,2
1649447805,2,1
4716893078,1,1
4716893096,1,1
365486,2,2
331486138,2,2
331486148,2,1
129962949,1,1
293442507,1,1
298488780,2,2
293442514,1,1
1595216861,1,2
294163426,2,2
294163431,2,2
294163434,2,2
294163435,1,1
371463149,3,2
221549574,1,2
885855241,2,2
1595216908,2,2
1595216913,1,1
1642927123,1,1
198251544,1,1
17306650,1,2
1966674975,1,1
1607570479,1,2
1607570480,1,2
885855280,2,2
2066027586,2,2
484709447,1,1
198251596,2,2
43586638,1,1
484709473,1,1
267883621,1,2
75666534,2,2
267883627,2,2
2599851142,1,1
267883680,1,1
17208482,2,2
270439586,2,2
675484839,1,1
3148944552,1,1
270439594,1,1
178984120,1,2
234691,1,2
369726661,2,1
667325638,1,1
667325639,1,1
267130082,1,1
2009011429,2,2
252646633,1,1
2009011438,1,1
267130099,2,3
267130103,2,2
2009011446,2,2
1163728134,1,1
293246223,1,1
8852765,2,1
177673506,3,3
8852775,1,1
2599851304,1,1
289215798,2,2
1644631372,2,2
1644631390,1,1
21763425,1,1
324900220,1,1
595330,2,2
595332,1,1
119510405,1,1
279319941,2,3
279319945,2,1
324900239,1,1
320542097,2,2
1687066002,1,2
595349,1,2
3298137505,1,1
871601582,3,3
289215923,1,1
475895219,1,1
88905136,1,1
249435583,2,2
267713,2,1
267718,1,2
249435592,2,2
267723,2,1
249435594,2,2
249435597,2,1
307828174,1,1
6033577423,1,1
475895247,1,2
249435602,1,2
475895254,2,2
267735,1,1
21370328,1,1
25531874,2,2
15832557,1,1
21370352,1,2
106370593,1,2
106370595,2,2
439227942,1,1
7057315367,1,1
270374439,1,2
1520932406,1,1
24548926,1,1
106370656,2,1
278206059,1,1
278206065,1,1
398976,1,2
2735773320,1,2
27334283,2,1
1221793420,2,2
398990,1,2
2735773328,1,1
398992,2,2
399017,1,1
399040,2,1
281351874,2,1
399044,2,2
399051,1,1
1839044303,2,2
399068,1,2
1839044317,2,2
254482149,1,1
27072233,1,2
27072234,2,1
27367151,1,2
1186928368,1,1
10786547,1,1
27072246,1,1
27072248,2,2
27072251,1,1
27072253,2,2
254482188,1,1
269326096,2,1
196417299,2,1
269326100,2,2
2342229786,1,1
516462365,1,1
271423263,1,1
256612127,2,1
2342229793,1,2
256612130,2,2
2342229800,2,1
196417320,2,2
20420418,1,1
20420427,2,2
20420429,2,1
1186928464,1,1
399187,3,3
399188,3,3
196417365,2,1
399197,2,2
15832933,1,2
1439045488,1,1
1439045492,1,1
399226,3,2
399232,1,1
82745221,1,2
24221575,1,2
21731216,2,2
355571614,1,2
1534039967,2,2
355571631,2,1
2112493513,1,2
